accession,context,platform,n_assay_records,n_unique_samples,n_unique_patients,patient_identity_available,n_case,n_control,patients_with_both_arms,paired_design_used,design,included_in_estimates,origin_pmid,provenance
GSE13911,STAD,GPL570,69,69,38,yes,38,31,31,yes,case-control,yes,,processed matrices prepared from the public series (see 03_expression/transformation_log.csv)
GSE27342,STAD,GPL5175,160,160,80,yes,80,80,80,yes,case-control,yes,,processed matrices prepared from the public series (see 03_expression/transformation_log.csv)
GSE63089,STAD,GPL5175,90,90,45,yes,45,45,45,yes,case-control,yes,,processed matrices prepared from the public series (see 03_expression/transformation_log.csv)
GSE15471,PAAD,GPL570,72,72,36,yes,36,36,36,yes,case-control,yes,,processed matrices prepared from the public series (see 03_expression/transformation_log.csv)
GSE20347,ESCC,GPL571,34,34,17,yes,17,17,17,yes,case-control,yes,,processed matrices prepared from the public series (see 03_expression/transformation_log.csv)
GSE23400,ESCC,GPL96,106,106,53,yes,53,53,53,yes,case-control,yes,,processed matrices prepared from the public series (see 03_expression/transformation_log.csv)
GSE28735,PAAD,GPL6244,90,90,45,yes,45,45,45,yes,case-control,yes,,processed matrices prepared from the public series (see 03_expression/transformation_log.csv)
GSE33814,NAFLD,GPL6884,44,44,not provided,no,31,13,0,no,case-control,yes,,processed matrices prepared from the public series (see 03_expression/transformation_log.csv)
GSE47460,COPD,GPL14550,236,236,not provided,no,145,91,0,no,case-control,yes,,processed matrices prepared from the public series (see 03_expression/transformation_log.csv)
GSE57957,HCC,GPL10558,74,74,37,yes,37,37,37,yes,case-control,yes,,processed matrices prepared from the public series (see 03_expression/transformation_log.csv)
GSE62232,HCC,GPL570,86,86,85,yes,81,5,1,no,case-control,yes,,processed matrices prepared from the public series (see 03_expression/transformation_log.csv)
GSE62452,PAAD,GPL6244,84,84,42,yes,42,42,42,yes,case-control,yes,,processed matrices prepared from the public series (see 03_expression/transformation_log.csv)
GSE66676,NAFLD,GPL6244,65,65,not provided,no,31,34,0,no,case-control,yes,,processed matrices prepared from the public series (see 03_expression/transformation_log.csv)
GSE76925,COPD,GPL10558,151,151,not provided,no,111,40,0,no,case-control,yes,,processed matrices prepared from the public series (see 03_expression/transformation_log.csv)
GSE10072,LUAD,GPL96,66,66,33,yes,33,33,33,yes,case-control,yes,,processed matrices prepared from the public series (see 03_expression/transformation_log.csv)
GSE16879,IBD,GPL570,43,43,43,yes,0,0,0,no,treatment-response (excluded from case-control analyses),no,,processed matrices prepared from the public series (see 03_expression/transformation_log.csv)
GSE179285,IBD,GPL6480,53,53,42,yes,22,31,11,yes,case-control,yes,,processed matrices prepared from the public series (see 03_expression/transformation_log.csv)
GSE19804,LUAD,GPL570,120,120,60,yes,60,60,60,yes,case-control,yes,,processed matrices prepared from the public series (see 03_expression/transformation_log.csv)
GSE23878,CRC,GPL570,59,59,not provided,no,35,24,0,no,case-control,yes,,processed matrices prepared from the public series (see 03_expression/transformation_log.csv)
GSE32863,LUAD,GPL6884,114,114,57,yes,57,57,57,yes,case-control,yes,,processed matrices prepared from the public series (see 03_expression/transformation_log.csv)
GSE41258,CRC,GPL96,235,235,191,yes,182,53,44,yes,case-control,yes,,processed matrices prepared from the public series (see 03_expression/transformation_log.csv)
GSE4302,Asthma,GPL570,70,70,not provided,no,42,28,0,no,case-control,yes,,processed matrices prepared from the public series (see 03_expression/transformation_log.csv)
GSE43696,Asthma,GPL6480,108,108,not provided,no,88,20,0,no,case-control,yes,,processed matrices prepared from the public series (see 03_expression/transformation_log.csv)
GSE44076,CRC,GPL13667,196,196,98,yes,98,98,98,yes,case-control,yes,,processed matrices prepared from the public series (see 03_expression/transformation_log.csv)
GSE67472,Asthma,GPL16311,105,105,not provided,no,62,43,0,no,case-control,yes,,processed matrices prepared from the public series (see 03_expression/transformation_log.csv)
GSE75214,IBD,GPL6244,97,97,not provided,no,74,23,0,no,case-control,yes,,processed matrices prepared from the public series (see 03_expression/transformation_log.csv)
GSE87473,IBD,GPL13158,127,127,127,yes,106,21,0,no,case-control,yes,,processed matrices prepared from the public series (see 03_expression/transformation_log.csv)
