step,n,detail
1. Series identified across ten disease contexts,candidate series as listed below,"contexts: LUAD, CRC, STAD, PAAD, HCC, ESCC, IBD, COPD, NAFLD, asthma"
2. Series with processed matrices available in this workspace,27,"GSE10072, GSE13911, GSE15471, GSE16879, GSE179285, GSE19804, GSE20347, GSE23400, GSE23878, GSE27342, GSE28735, GSE32863, GSE33814, GSE41258, GSE4302, GSE43696, GSE44076, GSE47460, GSE57957, GSE62232, GSE62452, GSE63089, GSE66676, GSE67472, GSE75214, GSE76925, GSE87473"
3. Series retained as case-control cohorts,26,case and control samples on the same platform (see registry)
4. Series excluded after review: treatment-response design,1,GSE16879 (Responder vs NonResponder; no case/control arm)
5. Series used only as external validation,1,"GSE39582 (CRC, independent platform)"
6. Series evaluated but not carried forward,3,"GSE21501, GSE62254, GSE15459 were downloaded during earlier curation rounds and are not part of the resource: GSE21501 and GSE62254 could not be processed into complete case-control matrices on their platform annotations, and GSE15459 duplicates the gastric context already covered; they are listed here for transparency and none of their samples enters any analysis"
7. Cohorts analysed in the estimates layer,26,one cohort (GSE47460/COPD) has 15 rather than 17 estimable modules; 8 cohort-module pairs are reported as not estimable
8. Single-cell datasets reviewed,5,"CRC, IBD, STAD, asthma used; LUAD excluded (tumour-only, no control arm)"
9. Tumour molecular contexts reviewed,6,"LUAD, CRC, STAD, PAAD, HCC, ESCC (oesophageal layer restricted to squamous histology)"
6b. Series downloaded but not carried forward: reasons recorded,3,"GSE21501 (pancreatic, no usable control arm after annotation), GSE62254 (gastric, incomplete platform annotation), GSE15459 (gastric, redundant with the retained gastric cohorts)"
